"","cmplnt_num","cmplnt_fr_dt","cmplnt_fr_tm","addr_pct_cd","rpt_dt","ky_cd","ofns_desc","pd_cd","pd_desc","crm_atpt_cptd_cd","law_cat_cd","boro_nm","loc_of_occur_desc","prem_typ_desc","juris_desc","jurisdiction_code","housing_psa","x_coord_cd","y_coord_cd","susp_age_group","susp_race","susp_sex","latitude","longitude","lat_lon.latitude","lat_lon.longitude","patrol_boro","vic_age_group","vic_race","vic_sex","cmplnt_to_dt","cmplnt_to_tm","parks_nm","hadevelopt","transit_district","station_name"
"5717","302554456",2012-04-01,"16:25:00","48",2012-04-01,"344","ASSAULT 3 & RELATED OFFENSES","101","ASSAULT 3","COMPLETED","MISDEMEANOR","BRONX","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT","0","NA","1014306","250564",NA,"UNKNOWN","M","40.854372291","-73.891354304","40.854372291","-73.891354304","PATROL BORO BRONX","25-44","BLACK HISPANIC","M",2012-04-01,"16:25:00","NA",NA,NA,NA
"5718","456003442",2014-08-12,"00:20:00","90",2014-08-12,"110","GRAND LARCENY OF MOTOR VEHICLE","441","LARCENY,GRAND OF AUTO","ATTEMPTED","FELONY","BROOKLYN","OPPOSITE OF","STREET","N.Y. POLICE DEPT","0","NA","1001675","196385",NA,NA,NA,"40.705699282","-73.93715363","40.705699282","-73.93715363","PATROL BORO BKLYN NORTH","25-44","WHITE HISPANIC","M",NA,NA,NA,NA,NA,NA
"5719","518447457",2015-09-03,"08:00:00","61",2015-09-04,"341","PETIT LARCENY","338","LARCENY,PETIT FROM BUILDING,UN","COMPLETED","MISDEMEANOR","BROOKLYN","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT","0","NA","996251","160942",NA,NA,NA,"40.608425043","-73.956779769","40.608425043","-73.956779769","PATROL BORO BKLYN SOUTH","25-44","WHITE","M",2015-09-03,"18:30:00",NA,NA,NA,NA
"5720","235372321",2015-02-07,"18:58:00","46",2015-02-08,"340","FRAUDS","707","IMPERSONATION 2, PUBLIC SERVAN","COMPLETED","MISDEMEANOR","BRONX",NA,"STREET","N.Y. POLICE DEPT","0","NA","1012539","253107",NA,NA,NA,"40.861357899","-73.897730961","40.861357899","-73.897730961","PATROL BORO BRONX",NA,"UNKNOWN","E",2015-02-07,"19:21:00",NA,NA,NA,NA
"5721","131176269",2012-07-08,"01:00:00","122",2012-07-08,"359","OFFENSES AGAINST PUBLIC ADMINI","749","VIOLATION OF ORDER OF PROTECTI","COMPLETED","MISDEMEANOR","STATEN ISLAND","INSIDE","RESIDENCE-HOUSE","N.Y. POLICE DEPT","0","NA","939761","160826","25-44","WHITE","M","40.608003085","-74.160227904","40.608003085","-74.160227904","PATROL BORO STATEN ISLAND","45-64","WHITE","F",NA,NA,"NA",NA,NA,NA
"5722","870393874",2012-11-01,"10:15:00","109",2012-11-01,"578","HARRASSMENT 2","637","HARASSMENT,SUBD 1,CIVILIAN","COMPLETED","VIOLATION","QUEENS",NA,"STREET","N.Y. POLICE DEPT","0","NA","1031585","216398",NA,"ASIAN / PACIFIC ISLANDER","M","40.760520504","-73.829134789","40.760520504","-73.829134789","PATROL BORO QUEENS NORTH","45-64","ASIAN / PACIFIC ISLANDER","M",2012-11-01,"10:20:00","NA",NA,NA,NA
"5723","666083679",2016-09-15,"16:00:00","107",2016-09-15,"341","PETIT LARCENY","321","LARCENY,PETIT FROM AUTO","COMPLETED","MISDEMEANOR","QUEENS",NA,"STREET","N.Y. POLICE DEPT","0","NA","1033843","203593","UNKNOWN","UNKNOWN","U","40.725361664","-73.821078448","40.725361664","-73.821078448","PATROL BORO QUEENS SOUTH","25-44","WHITE","F",2016-09-15,"16:05:00",NA,NA,NA,NA
"5724","273610087",2011-03-01,"22:30:00","67",2011-03-02,"341","PETIT LARCENY","349","LARCENY,PETIT OF LICENSE PLATE","COMPLETED","MISDEMEANOR","BROOKLYN","FRONT OF","STREET","N.Y. POLICE DEPT","0","NA","1005779","175961",NA,"UNKNOWN","U","40.649630998","-73.922416729","40.649630998","-73.922416729","PATROL BORO BKLYN SOUTH","65+","BLACK","M",2011-03-02,"14:00:00","NA",NA,NA,NA
"5725","894982701",2014-12-22,"00:35:00","90",2014-12-22,"344","ASSAULT 3 & RELATED OFFENSES","101","ASSAULT 3","COMPLETED","MISDEMEANOR","BROOKLYN","FRONT OF","STREET","N.Y. POLICE DEPT","0","NA","997948","197144",NA,"WHITE HISPANIC","M","40.707789112","-73.950594481","40.707789112","-73.950594481","PATROL BORO BKLYN NORTH","25-44","BLACK","M",2014-12-22,"00:45:00",NA,NA,NA,NA
"5726","668328383",2015-07-13,"12:00:00","19",2015-07-13,"351","CRIMINAL MISCHIEF & RELATED OF","258","CRIMINAL MISCHIEF 4TH, GRAFFIT","COMPLETED","MISDEMEANOR","MANHATTAN","REAR OF","COMMERCIAL BUILDING","N.Y. POLICE DEPT","0","NA","994519","216769",NA,NA,NA,"40.761659548","-73.962932501","40.761659548","-73.962932501","PATROL BORO MAN NORTH",NA,"UNKNOWN","D",2015-07-13,"12:30:00",NA,NA,NA,NA
