Name,Category,Region,County,Golf,Camp,Playground,Nature Center,Beach,Facility URL,Golf URL,Nature Center URL,Longitude,Latitude,Location
Planting Fields Arboretum,State Historic Park,9,Nassau,N,N,N,N,N,https://parks.ny.gov/historic-sites/24/details.aspx,,,-73.55722533,40.86217528,"(40.86217528, -73.55722533)"
Canoe Picnic Point,State Park,10,Jefferson,N,Y,N,,N,https://parks.ny.gov/parks/64/details.aspx,,,-76.07471216,44.30417139,"(44.30417139, -76.07471216)"
Beechwood,State Park,4,Wayne,N,N,N,,N,,,,-77.0337933,43.26669445,"(43.26669445, -77.0337933)"
Allegheny Reservoir Boat Launch,Marine Facility,2,Cattaraugus,N,N,N,N,N,,,,-78.88047447,42.05885118,"(42.05885118, -78.88047447)"
Lakeside Beach,State Park,3,Orleans,N,Y,Y,,N,https://parks.ny.gov/parks/161/details.aspx,,,-78.24370249,43.36638358,"(43.36638358, -78.24370249)"
Barcelona Lighthouse,State Park,2,Chautauqua,N,N,N,N,N,https://parks.ny.gov/parks/196/details.aspx,,,-79.5951487,42.34102814,"(42.34102814, -79.5951487)"
Harriet Hollister Spencer,State Park,4,Ontario,N,N,N,,N,https://parks.ny.gov/parks/164/details.aspx,,,-77.51547809,42.688112,"(42.688112, -77.51547809)"
Knox Farm,State Park,1,Erie,N,N,N,,N,https://parks.ny.gov/parks/163/details.aspx,,,-78.64774994,42.77386727,"(42.77386727, -78.64774994)"
Burnham Point,State Park,10,Jefferson,N,Y,Y,,N,https://parks.ny.gov/parks/57/details.aspx,,,-76.26444427,44.16250249,"(44.16250249, -76.26444427)"
Lake Taghkanic,State Park,7,Columbia,N,Y,Y,,Y-M,https://parks.ny.gov/parks/38/details.aspx,,,-73.70588782,42.09288182,"(42.09288182, -73.70588782)"
Blauvelt,State Park,8,Rockland,N,N,N,,N,https://parks.ny.gov/parks/49/details.aspx,,,-73.93737308,41.07424137,"(41.07424137, -73.93737308)"
Grass Point,State Park,10,Jefferson,N,Y,Y,,Y,https://parks.ny.gov/parks/139/details.aspx,,,-75.99593007,44.28176681,"(44.28176681, -75.99593007)"
Camp Hero,State Park,9,Suffolk,N,N,N,,N,https://parks.ny.gov/parks/97/details.aspx,,,-71.8777873,41.06177195,"(41.06177195, -71.8777873)"
Coles Creek,State Park,10,St. Lawrence,N,Y,Y,,Y,https://parks.ny.gov/parks/72/details.aspx,,,-75.12323609,44.88473357,"(44.88473357, -75.12323609)"
Whirlpool,State Park,1,Niagara,N,N,Y,,N,https://parks.ny.gov/parks/105/details.aspx,,,-79.06341797,43.12040048,"(43.12040048, -79.06341797)"
Cayuga Lake,State Park,4,Seneca,N,Y,Y,,Y,https://parks.ny.gov/parks/123/details.aspx,,,-76.75531185,42.89795191,"(42.89795191, -76.75531185)"
Robert V. Riddell,State Park,5,Otsego,N,N,N,,N,https://parks.ny.gov/parks/18/details.aspx,,,-74.93710757,42.47625451,"(42.47625451, -74.93710757)"
Belmont Lake,State Park,9,Suffolk,N,N,Y,,N,https://parks.ny.gov/parks/88/details.aspx,,,-73.336795,40.7262324,"(40.7262324, -73.336795)"
Hudson River Islands,State Park,11,Columbia/Greene,N,Y,N,,N,https://parks.ny.gov/parks/98/details.aspx,,,-73.7783764,42.32888525,"(42.32888525, -73.7783764)"
Long Point,State Park,4,Cayuga,N,Y,Y,,Y,https://parks.ny.gov/parks/170/details.aspx,,,-76.69840928,42.71741104,"(42.71741104, -76.69840928)"
Fort Ontario,State Historic Site,5,Oswego,N,N,N,,N,https://parks.ny.gov/historic-sites/20/details.aspx,,,-76.50744715,43.46612424,"(43.46612424, -76.50744715)"
Sunset Bay State Marine Park,Marine Facility,2,Chautauqua,N,N,N,N,N,https://parks.ny.gov/parks/194/details.aspx,,,-79.134885,42.56726514,"(42.56726514, -79.134885)"
Westcott Beach,State Park,10,Jefferson,N,Y,Y,,Y-M,https://parks.ny.gov/parks/90/details.aspx,,,-76.11801703,43.89698048,"(43.89698048, -76.11801703)"
Heckscher,State Park,9,Suffolk,N,Y,Y,,Y-M,https://parks.ny.gov/parks/136/details.aspx,,,-73.16492238,40.70866151,"(40.70866151, -73.16492238)"
Valley Stream,State Park,9,Nassau,N,N,Y,,N,https://parks.ny.gov/parks/159/details.aspx,,,-73.6942502,40.67876603,"(40.67876603, -73.6942502)"
Southwick Beach,State Park,10,Jefferson,N,Y,Y,,Y-M,https://parks.ny.gov/parks/36/details.aspx,,,-76.20460033,43.76329127,"(43.76329127, -76.20460033)"
Shirley Chisholm,State Park,12,Kings,N,N,N,N,N,https://parks.ny.gov/parks/200/details.aspx,,,-73.86532399,40.64601642,"(40.64601642, -73.86532399)"
Hudson Highlands,State Park Preserve,7,Dutch/Put,N,N,N,,N,https://parks.ny.gov/parks/9/details.aspx,,,-73.96211032,41.43375567,"(41.43375567, -73.96211032)"
Rexford Aqueduct,Other,11,Sara/Schen,N,N,N,,N,,,,-73.88767645,42.84926496,"(42.84926496, -73.88767645)"
Taxter Ridge,Other,7,Westchester,N,N,N,,N,,,,-73.83877677,41.05511939,"(41.05511939, -73.83877677)"
Hyde Hall,State Historic Site,5,Otsego,N,N,N,,N,https://parks.ny.gov/historic-sites/11/details.aspx,,,-74.8739967,42.79373333,"(42.79373333, -74.8739967)"
Tallman Mountain,State Park,8,Rockland,N,N,Y,,N,https://parks.ny.gov/parks/119/details.aspx,,,-73.91033132,41.02642268,"(41.02642268, -73.91033132)"
